EL RELOJ DE LA SABIDURÍA,"MORA, FRANCISCO",XXX
SOÑADORES DEL DILUVIO,"KNIGHT, CHRISTOFER - LOMAS, ROBERT",XXX
REENCARNACIÓN,"CHRISTIE-MURRAY, DAVID",XXX
TODO MAFALDA,QUINO,XXX
ESTO NO ES TODO,QUINO,XXX
EL LIBRO NEGRO DEL ISLAM,"HASSIN, MARCEL",XXX
EL LAMA MILAPERA,"PEREZ DE TUDELA, CESAR",XXX
EL SECRETO EGIPCIO DE NAPOLEÓN,"SIERRA, JAVIER",XXX
LA LEYENDA DEL GRIAL,"VAZQUEZ ALONSO, MARIANO JOSÉ",XXX
EL PAPA ROJO ,"BENITEZ, J.J.",XXX
RICKI B.,"BENITEZ, J.J.",XXX
PLANETA ENCANTADO,"BENITEZ, J.J.",XXX
DE LA MANO CON FRASQUITO,"BENITEZ, J.J.",XXX
MI DIOS FAVORITO,"BENITEZ, J.J.",XXX
EL REGRESO Y OTRAS HISTORIAS PARA NO DORMIR,"IBAÑEZ SERRADOR, NARCISO - JIMENEZ DEL OSO, DR.",XXX
EGIPTO INSÓLITO,"ARES, NACHO",XXX
EL VALLE DE LAS MOMIAS DE ORO,"ARES, NACHO",XX
EL GUARDIÁN DE LAS PIRÁMIDES,"ARES, NACHO",XXX
DIOS NACIÓ MUJER,"RODRIGUEZ, PEPE",XXX
MONTAÑAS LEGENDARIAS,"ATIENZA, JUAN G.",XXX
LEYENDAS HISTÓRICAS DE ESPAÑA Y AMÉRICA,"ATIENZA, JUAN G.",XXX
"GALERÍA DE PÍCAROS, EMBAUCADORES Y RUFIANES...","BARRIOS, MANUEL",XXX
LA MÁSCARA DE RÁ,"DOHERTI, LA MÁSCARA",XXX
COMO PIENSAN LOS CEREBROS,"CALVIN, WILLIAM H.",XXX
ENTRENANDO NUESTRO CEREBRO,"BLAKE, ANTHONY",XXX
LUCES DE MEDIANOCHE,"PADRÓ, FRANCISCO",XXX
EL CAMINO,"MAC LAINE, SHIRLEY",XXX
BRUJAS,"JIMENEZ DEL OSO, DR. FERNANDO",XXX
EL IMPERIO DEL SOL,"JIMENEZ DEL OSO, DR. FERNANDO",XXX
EL SÍNDROME OVNI,"JIMENEZ DEL OSO, DR. FERNANDO",XXX
EL CÓDIGO SECRETO DE LA BIBLIA,"DROSNIN, MICHAEL",XXX
EL NUEVO CÓDIGO SECRETO DE LA BIBLIA,"DROSNIN, MICHAEL",XXX
GUARDIÁN DEL GÉNESIS,"BAUVAL, ROBERT - HANCOCK, GRAHAM",XXX
LA RESPUESTA DE LOS DIOSES,"DÄNIKEN, ERICH VON",XXX
LA HISTORIA MIENTE,"DÄNIKEN, ERICH VON",XXX
LA VIPASSANA (EL ARTE DE LA MEDITACIÓN),"HART, WILLIAM",XXX
GUERRA DE BRUJAS,"MENDEZ, PABLO",XXX
SANADORES,"ALBA GONZALEZ, LUISA",XXX
EL PAIS DE LAS BRUMAS,"CONAN DOYLE, ARTHUR",XXX
EL ROSTRO,"HERRANZ, ISABELA",XXX
EL ALMA DEL CUERPO,"HERRANZ, ISABELA",XXX
GENTES DEL VALLE DEL NILO,"PARRA ORTÍZ, JOSE MIGUEL",XXX
NUEVOS ENIGMAS HISTÓRICOS AL DESCUBIERTO,"VIDAL, CÉSAR",XXX
VERDAD Y LEYENDA,"OLAIZOLA, JOSE LUIS",XXX
LOTERÍA SOLAR,"DICK, PHILIP K.",XXX
MESOPOTAMIA,"BOTTERO, JEAN",XXX
