"LA REBELIÓN DEL GRIAL","ATIENZA, JUAN G.",""
"La vuelta al mundo de un novelista.","Vicente Blasco Ibáñez",""
"FIGURAS Y LEYENDAS MITOLÓGICAS","GENEST, EMILIO",""
"GUÍA DE LA ESPAÑA MÁGICA","ATIENZA, JUAN G.",""
"SEGUNDA GUÍA DE LA ESPAÑA MÁGICA","ATIENZA, JUAN G.",""
"EL HOMBRE (ANATOMÍA) (2)","VARIOS AUTORES BAÑEZ, VIECENTE",""
"DICCIONARIO MÉDICO TEIDE","VARIOS AUTORES",""
"ENFERMERÍA","VARIOS AUTORES",""
"APÓCRIFOS DEL ANTIGUO TESTAMENTO","VARIOS AUTORES",""
"LA GRAN ENCICLOPEDIA VASCA (13)","VARIOS AUTORES",""
"DICCIONARIO ENCICLOPÉDICO ESPASA","VARIOS AUTORES",""
"LA VIDA DE LA PAREJA","VARIOS AUTORES",""
"LIBRO DE COCINA CASI","CASIMIRA",""
"LAS MIL NOCHES Y UNA NOCHE","VARIOS AUTORES",""
"PEQUEÑO LAROUSSE (3)","LAROUSSE",""
"MITOLOGÍA CLÁSICA","RUIZ DE RIVERA, ANTONIO",""
"MARTÍN FIERRO","HERNANDEZ, ANTONIO",""
"PEQUEÑA ENCICLOPEDIA TEMÁTICA (4)","LAROUSSE",""
"LA VUELTA AL MUNDO DE UN NOVELISTA (3)","BLASCO IBAÑEZ, VIECENTE",""
"LOS BARROETA","ARRIZABALAGA, BERNANDO",""
"EL ENIGMA DE LA ESFINGE","ARSUAGA, JUAN LUIS",""
"EL SALÓN DE ÁMBAR","ASENSI, MATILD",""
"PEREGRINATIO","ASENSI, MATILDE",""
"TIERRA FIRME","ASENSI, MATILDE",""
"IACOBUS","ASENSI, MATILDE",""
"OBRAS COMPLETAS (17)","BARANDIARÁN, P. JOSE MARÍA",""
"CABALLO DE TROYA 1","BENITEZ, J.J.",""
"ISIS SIN VELO (4)","BLAVATSKY, H. P.",""
"EL INGENIOSO HIDALGO D. QUIJOTE DE LA MANCHA","CERVANTES, MIGUEL",""
"EL DON APACIBLE (2)","CHOLOJOV",""
"TOMO CON SEIS TÍTULOS","VERNE, JULIO",""
"SANTORAL DIABÓLICO","ATIENZA, JUAN G.",""
"EL JUDÍO ERRANTE (2)","DICKENS, CHARLES",""
"EL CONDE DE MONTECRISTO (2)","DUMAS, ALEJANDRO",""
"CURANDERISMO Y CURACIONES POR LA FÉ","FREIXEDO, SALVADOR",""
"EL ENIGMA DEL ORIGEN DEL HOMBRE","GUIRAO, PEDRO",""
"MARTÍN FIERRO","HERNANDEZ, JOSÉ,""
"EL TEMPLO DE LA LUNA","JIMENEZ DEL OSO, DR. FERNANDO",""
"OPERACIÓN RAPA NUI","RIBERA, ANTONIO",""
"EL JUDÍO ERRANTE (2)","SUÉ, EUGENIO",""
"EL ORIGEN DE LAS ESPECIES (2)","DARWIN",""
"NTRA. SRA. DE PARÍS (2)","HUGO, VÍCTOR",""
"LOS TRABAJADORES DEL MAR","HUGO, VÍCTOR",""
"VIAJE A KIRIBATI","DÄNIKEN, ERICH VON",""
"PROFETA DEL PASADO","DÄNIKEN, ERICH VON",""
"LA GUERRA DE LOS DIOSES","SITCHIN, ZECHARIA",""
"EL DUODÉCIMO PLANETA","SITCHIN, ZECHARIA",""
"ESCALERA AL CIELO","SITCHIN, ZECHARIA",""
"EL FINAL DE LOS TIEMPOS","SITCHIN, ZECHARIA",""
"AL PRINCIPIO DE LOS TIEMPOS","SITCHIN, ZECHARIA",""
"LA REINA LIBERTAD (3)","JACQ, CHRISTIAN",""
"RAMSES (5)","JACQ, CHRISTIAN",""
"LOS MISTEROS DE OSIRIS (3)","JACQ, CHRISTIAN",""
"LA PIEDRA DE LUZ (4)","JACQ, CHRISTIAN",""
"LA SOMBRA DE UN OASIS","JACQ, CHRISTIAN",""
"POR AMOR A ISIS","JACQ, CHRISTIAN",""
"CHANTAJE","PERRY, ANN",""
